dimension,image,theta,elo_like,comparisons,component_id,component_size,n_components_dim,theta_ci_low,theta_ci_high,elo_like_ci_low,elo_like_ci_high,url,elo,comparisons_elo
atrakcyjna,1232.jpg,1.6299825724261388,1783.156974721256,10,0,2456,72,0.5510060230145827,2.103244268527577,1595.7195501162757,1865.3709519664671,https://langtorch.org/static/gandalf/1232.jpg,4341.252401170776,10
atrakcyjna,1355.jpg,1.5757751873366383,1773.7401874321458,8,0,2456,72,0.5212984570001892,2.047169165516427,1590.5588173199446,1855.6297088425076,https://langtorch.org/static/gandalf/1355.jpg,3189.539909569525,8
atrakcyjna,2737.jpg,1.4843212883515002,1757.853017961033,8,0,2456,72,1.5475836100835516e-17,1.9243366077614878,1500.0,1834.2915080300945,https://langtorch.org/static/gandalf/2737.jpg,4097.935528504292,8
atrakcyjna,2242.jpg,1.466821004312437,1754.8129072450708,6,0,2456,72,-2.691449756667046e-18,1.9736335012089803,1500.0,1842.855255549782,https://langtorch.org/static/gandalf/2242.jpg,3980.171279816544,6
atrakcyjna,1422.jpg,1.4524321924196433,1752.3133146025973,10,0,2456,72,0.5864026240263953,1.889331354002818,1601.8685695153004,1828.2104726120892,https://langtorch.org/static/gandalf/1422.jpg,3937.177773646274,10
atrakcyjna,805.jpg,1.4478268394351899,1751.5132828472513,8,0,2456,72,0.42486945537012827,1.937568911020842,1573.8073839985946,1836.5901945454577,https://langtorch.org/static/gandalf/805.jpg,3951.344938660483,8
atrakcyjna,2296.jpg,1.409259363422899,1744.8134260420218,6,0,2456,72,-3.3643121958336163e-20,1.914944895618142,1500.0,1832.660000526303,https://langtorch.org/static/gandalf/2296.jpg,3876.35175817366,6
atrakcyjna,649.jpg,1.405619698129198,1744.18115142081,8,0,2456,72,0.4397524288883012,1.9166007531686475,1576.3928213078966,1832.947652445104,https://langtorch.org/static/gandalf/649.jpg,3254.6912890241247,8
atrakcyjna,2842.jpg,1.36438615514861,1737.018151346494,8,0,2456,72,0.3730305057723039,1.795026871336764,1564.8020360953963,1811.828106035846,https://langtorch.org/static/gandalf/2842.jpg,3197.732370967983,8
atrakcyjna,2636.jpg,1.361002484801304,1736.4303476023283,10,0,2456,72,0.5212984570002295,1.800183516055157,1590.5588173199517,1812.7239069743794,https://langtorch.org/static/gandalf/2636.jpg,3280.5529997593167,10
atrakcyjna,2264.jpg,1.3585003798738962,1735.9956874570819,8,0,2456,72,0.34771466373506704,1.8391321526945463,1560.4042238947936,1819.489978162436,https://langtorch.org/static/gandalf/2264.jpg,2715.8395599768573,8
atrakcyjna,2184.jpg,1.350373113049189,1734.5838366031116,6,0,2456,72,-2.0354088784794525e-18,1.7992966258180598,1500.0,1812.5698383599693,https://langtorch.org/static/gandalf/2184.jpg,3339.7529537212613,6
atrakcyjna,768.jpg,1.3502627915762069,1734.5646718003309,6,0,2456,72,2.0185873175002845e-18,1.8562331825130747,1500.0,1822.460731316456,https://langtorch.org/static/gandalf/768.jpg,3437.671325105526,6
atrakcyjna,1383.jpg,1.349901969961446,1734.501990665834,8,0,2456,72,0.23009683189851726,1.9112055283031966,1539.9719137587786,1832.010405890027,https://langtorch.org/static/gandalf/1383.jpg,4425.132836522931,8
atrakcyjna,2132.jpg,1.3382662544886055,1732.4806598566938,6,0,2456,72,-1.0177044392397263e-18,1.9183286369710568,1500.0,1833.2478166054066,https://langtorch.org/static/gandalf/2132.jpg,3847.8619329783473,6
atrakcyjna,185.jpg,1.3374570786341697,1732.3400916133055,8,0,2456,72,9.386431026376325e-18,1.9353291628689115,1500.0,1836.2011104401631,https://langtorch.org/static/gandalf/185.jpg,2507.8231977858404,8
atrakcyjna,1279.jpg,1.3360705794312637,1732.0992320321113,6,0,2456,72,7.97341990412613e-18,1.8071521006230398,1500.0,1813.9344741041825,https://langtorch.org/static/gandalf/1279.jpg,3262.3361289147133,6
atrakcyjna,1622.jpg,1.3280416708052403,1730.7044677473164,6,0,2456,72,6.392193172084254e-19,1.8376593694981742,1500.0,1819.2341295163465,https://langtorch.org/static/gandalf/1622.jpg,3278.12017984976,6
atrakcyjna,637.jpg,1.3263437464256218,1730.4095080718134,8,0,2456,72,0.26937397965201426,1.8338424853111799,1546.7950531724755,1818.5710688201561,https://langtorch.org/static/gandalf/637.jpg,3780.6692618660195,8
atrakcyjna,1852.jpg,1.3216631382274562,1729.5964031468475,8,0,2456,72,0.1753166270173055,1.8145271459760148,1530.4556174798026,1815.2156507044158,https://langtorch.org/static/gandalf/1852.jpg,4067.674419455686,8
atrakcyjna,389.jpg,1.3064932785649574,1726.9611286097797,6,0,2456,72,1.345724878333523e-18,1.9107864321867327,1500.0,1831.93760143772,https://langtorch.org/static/gandalf/389.jpg,3565.8903830839795,6
atrakcyjna,475.jpg,1.301731564561558,1726.1339341633484,8,0,2456,72,0.350718120156627,1.7991381817125323,1560.9259777150019,1812.542313799681,https://langtorch.org/static/gandalf/475.jpg,3244.8706288480153,8
atrakcyjna,1738.jpg,1.300257874437219,1725.8779279677342,6,0,2456,72,2.691449756667046e-18,1.8922732548103829,1500.0,1828.7215331269022,https://langtorch.org/static/gandalf/1738.jpg,2935.7653034198224,6
